3703718,Energizer - Recharge Universal Rechargeable D Batteries (2-Pack),HardGood,Mar-09-2017 05:29:07,12.49,Nickel-metal-hydride chemistry; 1.2V of power; 2000 mAh capacity,"Get the most from your high-drain electronics with this Energizer rechargeable battery set. You can recharge these batteries hundreds of times to save money while helping the environment. Constructed with the Advanced Manufacturing Process, this Energizer rechargeable battery set of two provides you with reliable performance.",Energizer,PHOTO/COMMODITIES,Silver
3870902,Energizer - Ultimate Lithium AA  Batteries (4-Pack),HardGood,Sep-13-2019 10:30:46,8.49,Lithium chemistry; 1.5V of power; 3200 mAh capacity; lightweight design; shelf life up to 20 years,"Power your electronics with these Energizer Ultimate L91BP4 AA lithium batteries, which feature 1.5V of power and a 3200 mAh capacity for a steady flow. A shelf life of up to 20 years lets you keep the batteries stashed away until you need them.",Energizer,PHOTO/COMMODITIES,Silver
3942121,"Metra - Speaker Harness for Select Mazda, Chrysler, Dodge, Jeep and Hyundai Vehicles - White",HardGood,Dec-12-2017 00:17:27,13.99,"Compatible with 1998 and later Mazda vehicle, 1994 and later Chrysler, Dodge, Jeep and Hyundai vehicles; connects aftermarket speakers to existing factory connectors; pair per pack","Connect an aftermarket speaker system without having to mess with wire splicing with this Metra Electronics speaker harness. Delivered as a pair, this plug-and-play setup is compatible with select Mazda models from 1998 on up and Chrysler/Dodge/Jeep/Hyundai models from 1994 up. This Metra Electronics speaker harness pair arrives with everything needed for quick installation.",Metra,MOBILE AUDIO,White
3964696,Jeff Buckley: Live in Chicago [DVD] [1995],Movie,Oct-05-2017 07:13:05,9.99,,"Jeff Buckley was known for his soaring vocal range and his searing, emotional songs and performances. This DVD serves as impressive documentation of a Buckley concert from 1995. The digital transfer is flawless. The videotaped performances never seem less than immediate. Indeed, the bright spotlights translate perfectly to DVD, making the viewer feel right there. The clean, colorful visuals create a mood of intimate tangibility, the audio gives a most deserving representation of the entire concert, and Buckley's vocals slam into an unsuspecting listener/viewer with flaring passion. All 13 performances can be selected from the ""Set List"" menu. The ""Discography"" feature is a stills gallery of four album covers, with song titles listed to the side. The bonus acoustic songs, from a videotaped sit-down affair, are a slightly awkward attempt at an Unplugged atmosphere, but even when Buckley isn't in top form, his voice remains powerfully stunning. ""The Electronic Press,"" a glossily produced, 17-minute mini-documentary, from the Grace period is the best special feature here. It is a genuinely enlightening and remarkably moving glimpse into Buckley's inspiration and art. Like his father before him, Jeff Buckley was a true talent who died with much music left to bestow. This live performance DVD is a most welcome, respectful ode to a gifted artist.",,VIDEO/COMPACT DISC,
3979829,Whirlpool - 18.5 Cu. Ft. Bottom-Freezer Refrigerator - White,HardGood,Sep-25-2018 14:38:59,1499.99,Electronic controls; Accu-Chill temperature management system; FreshFlow produce preserver; spill-proof glass shelves; humidity-controlled crispers; freezer drawer; factory-installed icemaker,"With an Accu-Chill temperature management system, this Whirlpool WRB329DMBW refrigerator ensures your food and beverages are stored at consistent temperatures. The electronic controls allow you to quickly and easily adjust the internal temperature.",Whirlpool,APPLIANCE,White
3986021,CyberPower - 750VA Ecologic Battery Back-Up System - Black,HardGood,Mar-13-2017 08:03:19,88.99,526-joule protection rating; 12 surge-protected outlets; data line protection; EMI/RFI noise filter; GreenPower UPS technology; PowerPanel personal software,"Deliver battery backup and surge protection for desktop computers and workstations with this CyberPower Ecologic UPS. It supplies power long enough for equipment to shut down properly to prevent data loss, and it diverts excess voltage away from sensitive electronics during a power spike. The compact form factor of this CyberPower Ecologic UPS maximizes desk space.",CyberPower,ACCESSORIES,Black
3986058,CyberPower - Smart App Intelligent LCD OR1500LCDRM2U 1500VA UPS - Black,HardGood,Mar-08-2017 04:16:57,399.99,1500VA/900W - 6 Minute Full Load - 8 x NEMA 5-15R - Battery/Surge-protected,"The Office Rackmount LCD Series UPS is designed to protect home-office servers, corporate and departmental networks, and network-based appliances. The Intelligent Crystal-Blue LCD diagnostic panel gives administrators immediate, real-time information of the UPS vitals. LCD diagnostics include AVR Status, Estimated Runtime, Battery Capacity, Load Level, Input & Output Voltage Level, Output Frequency, On-Battery, Overload, Fault, and Silent Mode. The OR1500LCDRM2U houses four (4) 7.0Ah batteries, 8 fulltime battery/surge outlets, and dual serial ports. Full AVR (Automatic Voltage Regulation) protection with both Boost and Buck insures that your sensitive electronic equipment receives only clean, consistent, regulated power, without switching to battery-mode. The OR series are fully manageable with the addition of an SNMP/HTTP adapter, and have microprocessor-based, fully digital controlled circuitry. It also is equipped with a RJ11/45 port for modem/network surge protection, and a RG-6 port for coax/cable/DSS. Its innovative design allows it to be either freestanding or rack-mounted (2U). PowerPanel Plus Smart-App Management software (included) automatically saves and closes open files and shutdowns the PC in an intelligent and orderly manner. CyberPower carries a 3-year unlimited warranty, has a professional award-winning Technical Support, and offers a lifetime Connected Equipment Guarantee of $300,000.",CyberPower,ACCESSORIES,Black
4000003,XpressKit - Databus All Interface Module - Black,HardGood,Mar-11-2017 14:34:08,99.99,"Compatible with select vehicles with a VATS, PASSLOCK, push-start or electronic ignition system; all-in-one door lock and override module; advanced hardware architecture","This XPRESSKIT DBALL2 databus all interface module supports door locking and override capabilities with select vehicles with a VATS, PASSLOCK, push-start or electronic ignition system and features advanced hardware architecture for optimal performance.",XpressKit,MOBILE AUDIO,Black
4053248,"BDI - OLA TV Cabinet for Flat-Panel TVs up to 73"" - White",HardGood,Mar-08-2017 15:35:57,1799,From our expanded online assortment; 3 adjustable shelves; open center compartment; curved glass doors; hidden wheels; flow-through ventilation,"Store a variety of books, DVDs and electronic components in this BDI OLA 8137SW TV cabinet that features 3 adjustable shelves for customizable storage.",BDI,MAGNOLIA HOME THEATR,White
4112541,MetroVac - DataVac Pro 2 Handheld Computer Vacuum - Black,HardGood,Jan-29-2019 18:14:35,169.99,"METROVAC DataVac Pro 2 Handheld Computer Vacuum: 4.5 amps of power; standard filter; 11"" cleaning path width; 19"" flexible hose, crevice tool and soft bristle brush; 4-piece micro-cleaning tool kit","Clean your computer, printer and other electronics running smoothly with this MetroVac DataVac Pro 2 MDV-2BA handheld vacuum, which features an 85 cfm airflow rate to effectively remove lint, dust, hair and other debris.",MetroVac,APPLIANCE,Black
4195903,CyberPower - Standby 425 VA Desktop UPS - Black,HardGood,Mar-06-2018 05:23:57,49.99,425 VA/255 W - Desktop - Full Load Runtime 2 Minute - 4 x NEMA 5-15R,"CyberPower Standby CP425SLG 425 VA Desktop UPS safeguards home/office computers and other electronics (monitors, scanners, speakers, CD/DVD players, MP3 players and phones) from surges, spikes, sags, brownouts and other power abnormalities. Its composite integrated circuitry offers advanced lightning protection.",CyberPower,ACCESSORIES,Black
4203721,"Walker Edison - TV Stand Cabinet for Most Flat-Panel TVs Up to 48"" - Black",HardGood,Feb-23-2017 02:08:06,189.99,"Supports TVs up to 48"" or 250 lbs.; high-grade MDF and durable laminate construction; internal cable management","Watch your favorite shows from a comfortable seated height with this Walker Edison Columbus TV console. Its 44-inch surface accommodates most flat-screen TVs up to 48 inches, and the glass doors create a low-dust zone for A/V components and peripheral electronics. This Walker Edison Columbus TV console has a black finish to match a variety of interior designs.",Walker Edison,PHOTO/COMMODITIES,Black
4203767,"Walker Edison - TV Stand Cabinet for Most Flat-Panel TVs Up to 48"" - Brown",HardGood,Mar-08-2017 15:36:28,189.99,"Supports TVs up to 50"" or 249.1 lbs.; high-grade MDF and durable laminate construction","Featuring both open and closed storage, this 44-inch entertainment center from Walker Edison provides space for your media and electronics. Crafted out of high-grade MDF and laminate in a rich, textured wood design. This TV stand can support up to a 50-inch TV and is sturdy enough to support up to 250 pounds altogether. With an above open shelf for your electronics and lower cabinet doors with metal handles to open up to the lower shelf for your media. This media console can add storage space to your living room, home office, or bedroom. In a stylish, transitional design style to complement your living space.",Walker Edison,PHOTO/COMMODITIES,Brown
4203803,"Walker Edison - TV Cabinet for Most Flat-Panel TVs Up to 55"" - Black",HardGood,Mar-08-2017 03:09:22,309.99,"Holds most flat-panel TVs up to 55"" weighing up to 250 lbs.; glass, wood and veneer construction","Prepare for movie nights with this 52-inch Walker Edison Becket media console. Its two drawers store up to 60 DVDs, and the two cabinets boast adjustable shelving for enhanced customization of displays. The high-grade MDF material and built-in cable management system of this black Walker Edison Becket media console store up to 250 lbs. of electronics hassle-free.",Walker Edison,PHOTO/COMMODITIES,Black
4283702,"Monogram - 36"" Gas Cooktop - Stainless steel",HardGood,Aug-20-2019 14:46:33,3730,Mechanical controls; 4 gas burner elements; 5275W of heating power; reversible burner grates,"Cook like a chef with this 36-inch Monogram gas range top. The four sealed, dual-flame stacked burners deliver up to 18,000 BTUs for high-temperature searing or delicate melting and simmering, and an aluminum-clad stainless steel built-in griddle offers versatile cooking options. This Monogram gas range top uses electronic ignition for easy lighting and automatic reignition if the flames go out.",Monogram,APPLIANCE,Stainless steel
4289002,Viking - Professional 5 Series Quiet Cool 20.4 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Burgundy,HardGood,Aug-20-2019 13:02:17,10329,Electronic controls; 2 adjustable full-width Spillproof shelves; adjustable full-width Spillproof Plus shelf; 2 adjustable dairy compartments; 3 adjustable half-width door bins; 2 adjustable Humidity Zone drawers; full-width door bin; 2 wire freezer baskets; LED interior lighting,"Cool food quickly with this Viking refrigerator. It has a door alarm that activates when the freezer is left open for over three minutes and aluminum bins to keep heavy items secure. Theater lighting provides night-time visibility, while the electronic controls of this Viking refrigerator let you adjust the temperature as needed.",Viking,APPLIANCE,Burgundy
4289008,Viking - Professional 5 Series Quiet Cool 20.4 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Cobalt blue,HardGood,Aug-20-2019 13:02:18,10329,Electronic controls; 2 adjustable full-width Spillproof shelves; adjustable full-width Spillproof Plus shelf; 2 adjustable dairy compartments; 3 adjustable half-width door bins; 2 adjustable Humidity Zone drawers; full-width door bin; 2 wire freezer baskets; LED interior lighting,"Keep food fresh in this Viking bottom freezer refrigerator. Electronic controls provide strict temperature regulation and monitoring via a digital readout, and the latest no-spill technology contains spills in small zones and maximizes usable space. Bright LED lights reduce energy consumption and illuminate the contents of this Viking bottom freezer refrigerator.",Viking,APPLIANCE,Cobalt blue
4289400,Viking - Professional 5 Series Quiet Cool 25.3 Cu. Ft. Side-by-Side Built-In Refrigerator - Burgundy,HardGood,Aug-20-2019 13:02:17,10959,Electronic controls; 2 adjustable full-width Spillproof Plus shelves; 2 adjustable full-width Spillproof shelves; 2 adjustable dairy compartments; 4 adjustable full-width door bins; 2 adjustable Humidity Zone drawers; 3 adjustable freezer shelves; 2 glide out freezer baskets; 3 adjustable freezer door bins; auto defrost; LED interior lighting,"Retain the freshness and quality of stored food with this Viking side-by-side refrigerator. It has electronic controls and a digital readout for precise temperature control, and moisture-adjustable drawers provide suitable humidity levels for safe storage of leafy greens, fruits and vegetables. The air purifier of this Viking side-by-side refrigerator eliminates airborne bacteria, mold and odors.",Viking,APPLIANCE,Burgundy
4289412,Viking - Professional 5 Series Quiet Cool 29.1 Cu. Ft. Side-by-Side Built-In Refrigerator - Graphite gray,HardGood,Aug-20-2019 13:02:18,11709,Electronic controls; 2 adjustable full-width Spillproof Plus shelves; 2 adjustable full-width Spillproof shelves; 2 adjustable dairy compartments; 4 adjustable full-width door bins; 2 adjustable Humidity Zone drawers; 3 adjustable freezer shelves; 2 glide out freezer baskets; 3 adjustable freezer door bins; auto defrost; LED interior lighting,"Locate favorite items easily in this Viking side-by-side refrigerator and freezer. LED lights cast a bright glow over all food items, and electronic controls ensure even temperatures for optimal food storage. Tempered glass shelves hold up to the bumps and weight associated with daily food movement in this Viking side-by-side refrigerator and freezer.",Viking,APPLIANCE,Graphite gray
4289701,"LG - 29"" SideKick 1.0 Cu. Ft. 6-Cycle High-Efficiency Pedestal Washer - Graphite Steel",HardGood,Oct-11-2019 13:28:53,701.99,"Compatible with most 29"" LG front-load washers; LED electronic controls; 2 temperature settings; noise-reduction technology; Twinwash; Twin Wash","LG SideKick Pedestal Washer: With 6 wash cycles, including specialized quick-wash and delicates cycles, and 6 wash speeds, this washer makes it easy to ensure a deep clean for your clothes. LED electronic controls allow simple cycle selection.  Discover LG's innovative TWIN Wash system and SideKick pedestal washer that let you tackle two loads of laundry at the same time.",LG,APPLIANCE,Graphite Steel
4289703,"LG - 27"" SideKick 1.0 Cu. Ft. 6-Cycle High-Efficiency Pedestal Washer - Graphite Steel",HardGood,Oct-11-2019 13:28:53,656.99,"Compatible with most 27"" LG front-load washers; LED electronic controls; 2 temperature settings; noise-reduction technology; Twinwash; Twin Wash","LG SideKick Pedestal Washer: Enjoy efficient washing with 6 wash cycles, 2 temperature settings and a compact design for versatile installation options. LED electronic controls make it easy to select the desired cycle setting.  Discover LG's innovative TWIN Wash system and SideKick pedestal washer that let you tackle two loads of laundry at the same time.",LG,APPLIANCE,Graphite Steel
4289707,"LG - 27"" SideKick 1.0 Cu. Ft. 6-Cycle High-Efficiency Pedestal Washer - White",HardGood,Oct-11-2019 13:29:18,629.99,"Compatible with most 27"" LG front-load washers; LED electronic controls; 2 temperature settings; noise-reduction technology; Twinwash; Twin Wash","LG SideKick Pedestal Washer: Enjoy efficient washing with 6 wash cycles, 2 temperature settings and a compact design for versatile installation options. LED electronic controls make it easy to select the desired cycle setting.  Discover LG's innovative TWIN Wash system and SideKick pedestal washer that let you tackle two loads of laundry at the same time.",LG,APPLIANCE,White
4330311,"Monogram - 48"" Gas Cooktop - Stainless steel",HardGood,Aug-20-2019 14:46:43,4330,Mechanical controls; 7 elements; 5275W of heating power,"Enjoy cooking a variety of foods on this 48-inch Monogram gas range top. With six burners, it has enough room for multiple pots and pans, and its electronic ignition and automatic reignition makes sure the flames burn strong from the moment it's turned on. This Monogram gas range top comes with a fitted bamboo cutting board.",Monogram,APPLIANCE,Stainless steel
4330318,Monogram - 8.3 Cu. Ft. Self-Cleaning Freestanding Double Oven Dual Fuel Convection Range - Stainless steel,HardGood,Aug-20-2019 14:14:35,9720,"6 burners; 4103-5275W of power; sabbath mode, convection bake, convection roast, convection broil, true convection cooking system and proof mode functions","Stainless steel with smoothly finished edges, large electronic control knobs and heavy duty handles. Deliver a full spectrum of heat settings, from an ultra-low 140 F simmer to an intense 18,000 BTU.",Monogram,APPLIANCE,Stainless steel
4330319,"Monogram - 36"" Gas Cooktop - Stainless steel",HardGood,Aug-20-2019 14:46:33,3430,Mechanical controls; 6 elements; 5275W of heating power,"Stainless steel with smoothly finished edges and large electronic control knobs. Deliver a full spectrum of heat settings, from an ultra-low 140&#176; F simmer to an intense 18,000 BTU.",Monogram,APPLIANCE,Stainless steel
4330331,Monogram - 8.9 Cu. Ft. Self-Cleaning Freestanding Double Oven Gas Convection Range - Stainless steel,HardGood,Aug-20-2019 14:24:33,8460,True hidden bake element; gas oven; 5275W of power; convection; sabbath mode; convection bake; convection roast; proof mode; bake; self-cleaning,"Stainless steel with smoothly finished edges, large electronic control knobs and heavy duty handles. Deliver a full spectrum of heat settings, from an ultra-low 140&#176; F simmer to an intense 18,000 BTU.",Monogram,APPLIANCE,Stainless steel
4330332,Monogram - 6.2 Cu. Ft. Self-Cleaning Freestanding Gas Convection Range - Stainless steel,HardGood,Aug-20-2019 14:08:30,5670,True hidden bake element; gas oven; six 5275W dual-flame stacked burners; convection; sabbath mode; convection bake; convection roast; proof mode; bake; self-cleaning,"Stainless steel with smoothly finished edges, large electronic control knobs and heavy duty handles.Deliver a full spectrum of heat settings, from an ultra-low 140&#176; F simmer to an intense 18,000 BTU.Caterer's oven uniquely sized to accommodate three full-sized sheet trays.",Monogram,APPLIANCE,Stainless steel
4330338,Monogram - 8.3 Cu. Ft. Self-Cleaning Freestanding Double Oven Dual Fuel Convection Range - Stainless steel,HardGood,Aug-20-2019 14:14:50,9990,"4 burners; 4103-5275W of power; sabbath mode, convection bake, convection roast, convection broil, true convection cooking system and proof mode functions","Stainless steel with smoothly finished edges, large electronic control knobs and heavy duty handles. Deliver a full spectrum of heat settings, from an ultra-low 140&#176; F simmer to an intense 18,000 BTU.",Monogram,APPLIANCE,Stainless steel
4330340,"Monogram - 42"" Externally Vented Range Hood - Stainless steel",HardGood,Aug-20-2019 15:28:06,2800,"Electronic controls; 1,050 cfm exhaust capacity; metal grease filters; halogen light","Draw cooking odors and airborne grease out of your kitchen with this 42-inch Monogram island hood. Its electronic touch controls, dual blowers and removable filters make it easy to use and maintain. The four halogen lights on this Monogram island hood adjust to six levels of brightness for enhanced visibility.",Monogram,APPLIANCE,Stainless steel
4330627,Monogram - 21.9 Cu. Ft. Upright Freezer,HardGood,Aug-20-2019 14:55:01,5630,Temperature management system; 6 adjustable shelves; 1 full-width fixed shelf; 10 door shelves; 2 large wire baskets; concealed ice drawer; automatic icemaker; door alarm; interior light; upfront control,"Stock up for the future with this 36-inch Monogram built-in freezer. Its shelves, door bins and baskets are adjustable to accommodate items bought in bulk, and its integrated filtration system keeps ice tasting fresh. The electronic controls of this Monogram built-in freezer create a constant temperature to preserve food reliably.",Monogram,APPLIANCE,
4330634,Monogram - 14.3 Cu. Ft. Bottom-Freezer Built-In Refrigerator,HardGood,Aug-20-2019 13:00:29,7630,"Illuminated, electronic glass-touch controls; dual-refrigeration system with three independent temperature-management zones; self-closing vegetable drawer; freezer drawer; three adjustable door bins; removable beverage rack; convertible lower drawer; auto defrost; framed glass door","Keep produce fresh and chilled with this Monogram integrated glass door refrigerator. Its convertible lower drawer can be used as a fridge, freezer or crisper drawer, and its adjustable glass shelves provide flexible storage. This 30-inch Monogram integrated glass door refrigerator has an electronic ice maker and a removable ice storage bin for convenient serving.",Monogram,APPLIANCE,
4330653,Monogram - 21.9 Cu. Ft. Upright Freezer - Stainless steel,HardGood,Aug-20-2019 14:55:05,6630,6 adjustable shelves; 2 gallon door bins; 2 wire drawers; fixed shelf; full-width shelf; automatic icemaker; interior light; electronic controls,"Store all your frozen foods in this 21.92-cu.-ft. Monogram built-in freezer. It has adjustable shelves, baskets and bins for customized storage, and the precise electronic controls let you adjust the settings to suit your needs. This Monogram built-in freezer has an ice maker and dedicated concealed ice drawer, giving you access to fresh ice around the clock.",Monogram,APPLIANCE,Stainless steel
4330654,Monogram - 21.3 Cu. Ft. Bottom-Freezer Refrigerator - Stainless steel,HardGood,Aug-20-2019 13:00:29,7830,Electronic controls; 4 adjustable glass shelves; 6 adjustable gallon storage door bins; 2 covered dairy compartments; sealed deli drawer; sealed drawer; humidity controlled drawer; slide-in freezer drawer; slide-in freezer basket; auto defrost,"Upgrade your kitchen's potential with this Monogram built-in refrigerator. The 21.33-cu.-ft. storage capacity has a bottom-mount 6.34-cu.-ft. freezer compartment and ample storage for both fresh and frozen products, and the six adjustable door bins provide several configurations for organizing your groceries. The electronic controls and digital readout on this Monogram built-in refrigerator make it easy to customize and operate.",Monogram,APPLIANCE,Stainless steel
4330656,Monogram - 21.3 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Custom Panel Ready,HardGood,Aug-20-2019 13:00:29,6730,Electronic controls; 4 adjustable glass shelves; 6 adjustable gallon storage door bins; 2 covered dairy compartments; sealed deli drawer; adjustable humidity drawer; full open freezer drawer; slide-in freezer drawer; auto defrost,"Keep your perishables cool in this Monogram built-in bottom freezer refrigerator. The humidity-controlled vegetable section keeps your produce fresh longer, and the six adjustable bins in the door provide maximum flexibility for food and drink storage. This 36-inch Monogram built-in bottom freezer refrigerator has digital electronic controls for easy temperature adjustments.",Monogram,APPLIANCE,Custom Panel Ready
4334600,Samsung - 26.5 Cu. Ft. Side-by-Side Counter-Depth Refrigerator with Apps - Stainless steel,HardGood,Aug-22-2019 16:00:44,7299.99,"8"" TFT LCD touch screen controls; Twin Cooling Plus; 3 humidity-controlled crispers; 2 dairy bins; 4 spill-proof tempered-glass shelves; LED lighting; icemaker; power freeze","Samsung side-by-side refrigerator: Stay on top of your grocery list and leave notes for your family with this refrigerator, which offers an 8"" TFT LCD display with apps for easy access to Pandora, electronic notes and more. The door alarm alerts you when the door has been left open, and Power Freeze and Power Cool help get internal temperatures back on track fast. The built-in look offers a sleek look.",Samsung,APPLIANCE,Stainless steel
4335900,"BDI - Corridor Low Cabinet for Most TVs Up to 85"" - Chocolate Walnut",HardGood,Mar-08-2017 15:37:04,2524,"BDI Corridor Low Cabinet for Most TVs Up to 85"": Holds TVs up to 85"" weighing up to 175 lbs.; micro-etched glass top; MDF construction; walnut wood veneer; solid wood louvered doors; 3 adjustable shelves; concealed wheels","BDI Corridor Low Cabinet: House your electronic essentials in this entertainment stand, which allows you to store your speakers and consoles inside the cabinet without inhibiting audio performance and IR pass-through. The durable design offers a sleek appearance to suit your d&#233;cor.",BDI,MAGNOLIA HOME THEATR,Chocolate Walnut
4336000,"BDI - Corridor Low Cabinet for Most TVs Up to 85"" - White Oak",HardGood,Mar-08-2017 15:37:04,2524,"BDI Corridor Low Cabinet for Most TVs Up to 85"": Holds TVs up to 85"" weighing up to 175 lbs.; micro-etched glass top; MDF construction; oak wood veneer; solid wood louvered doors; 3 adjustable shelves; concealed wheels","BDI Corridor Low Cabinet: House your electronic essentials in this entertainment stand, which allows you to store your speakers and consoles inside the cabinet without inhibiting audio performance and IR pass-through. The durable design offers a sleek appearance to suit your d&#233;cor.",BDI,MAGNOLIA HOME THEATR,White Oak
4340100,Honeywell Home - True HEPA 465 Sq. Ft. Air Purifier - Black,HardGood,Oct-10-2017 13:57:58,249.99,"HONEYWELL True HEPA Air Purifier: Up to 465 sq. ft. coverage; removes up to 99.97% of allergens as small as 0.3 microns; electronic tap controls; 4 fan speeds, including Turbo Clean setting; timer; activated carbon pre-filter; True HEPA filter","Help ensure your home is free of allergens with this Honeywell True HEPA HPA300 air purifier, which removes most particles as small as 0.3 microns. The activated carbon pre-filter reduces odors, and electronic indicators remind you to change the filter.",Honeywell Home,APPLIANCE,Black
4385000,"Walker Edison - Transitional TV Stand / Buffet for TVs up to 55"" - Traditional Brown",HardGood,Mar-09-2017 02:49:27,419.99,Supports TVs up to 249.1 lbs.; tempered glass and high-grade MDF construction,"This highboy console from Walker Edison features a multifunctional design. Made out of high-grade MDF with tempered safety glass window paned side cabinets and two center drawers, all with round metal handles. A lower open shelf provides room for throws, pillows, and extra storage. Used as an entertainment center in your living room, TV stand in your bedroom, or buffet in your kitchen, this console gives storage space. Organize your electronics and media or plates and chinaware inside the drawers or on the shelving. This highboy console will provide a transitional style to your home that you'll love.",Walker Edison,PHOTO/COMMODITIES,Traditional Brown
4385001,Walker Edison - Urban Metal and Wood Computer Desk - Driftwood,HardGood,Jan-09-2019 17:44:48,329.99,"High-grade MDF top surface and powder-coated steel base; 48"" x 24"" x 30"" (W x D x H); 2 shelves","Find a productive space with this 48-inch Walker Edison industrial tech computer desk. It has open shelving for books or peripheral devices, and the pull-out drawer keeps office supplies out of sight. Power your electronic devices with the built-in USB port and AC plug-in of this Walker Edison industrial tech computer desk.",Walker Edison,PHOTO/COMMODITIES,Driftwood
4385104,Wiremold - CordMate II Cord Cover Kit - White,HardGood,Mar-11-2017 00:33:39,29.99,Keeps multiple wires hidden; paintable plastic material; snap-on fittings; peel-and-press installation,"Hide the wires of your electronics using this Wiremold CordMate II WMC501 cord cover kit, which includes snap-on fittings and features simple peel-and-press installation. Paint the covers to match your d&#233;cor.",Wiremold,ACCESSORIES,White
4392900,"JBL - BassPro SL 8"" Loaded Subwoofer Enclosure with Integrated 125W Amp - Black",HardGood,Mar-08-2017 02:12:36,249.99,125W Amp: Custom electronic circuitry; variable electronic crossover; selectable bass boost; ABS enclosure; under-the-seat installation,JBL BassPro SL Loaded Subwoofer Enclosure: Enjoy booming bass on your next road trip thanks to a 125W integrated Class D amplifier for balanced high- and low-frequency sounds. Custom electronic circuitry ensures lush audio and a wide range of output levels.,JBL,MOBILE AUDIO,Black
4394008,Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,HardGood,Oct-12-2018 11:11:21,839.99,Electronic controls; 3 frameless glass shelves; humidity-controlled crispers; gallon door storage; wire freezer shelf; automatic icemaker,"Whirlpool Top-Freezer Refrigerator: Keep your home stocked with healthy snacks and groceries using this 18.2 cu. ft. refrigerator, which features 3 frameless glass shelves and 2 humidity-controlled crispers to prolong the freshness of your fruits and vegetables. Electronic controls offer simple temperature adjustment.",Whirlpool,APPLIANCE,Stainless steel
4481801,GE - 21.9 Cu. Ft. Counter-Depth Refrigerator - High-Gloss Black,HardGood,Mar-11-2017 19:33:19,2159.99,Electronic touch controls; 4 electronic temperature sensors; Short Air Tower; 4 spill-proof glass shelves; multilevel drawers; 4 freezer shelves; 5 freezer door shelves,"GE Counter-Depth Refrigerator: Keep fresh and frozen items neatly organized in this refrigerator, which offers spill-proof glass shelves for easy cleanup and a through-the-door dispenser that produces chilled water and ice with a press of a button. Electronic touch controls make it easy to adjust the temperature.",GE,APPLIANCE,High-Gloss Black
4490147,DataComm - Flat Panel TV Cable Organizer Remodeling Kit with Power Outlet - White,HardGood,Mar-11-2017 02:11:55,39.99,Compatible with most in-wall cables for flat panel TVs; in-wall design; built-in power outlet; easy installation; 2-pack,Avoid wiring clutter with this convenient DataComm Electronics cable organizing kit. It includes a recessed cable plate and a recessed power outlet to run HDMI and A/V cables from your flat-panel TV through the wall behind it. This DataComm Electronics cable organizing kit also has a single-gang low-voltage mounting bracket for secure installation.,DataComm,ACCESSORIES,White
4511228,In the Mood For Love [2 Discs] [Criterion Collection] [DVD] [2000],Movie,Oct-19-2019 07:16:57,29.99,,"One of the most highly acclaimed films of 2000, Wong Kar-Wai's stylish romantic drama In the Mood for Love is given the Criterion Collection treatment, giving viewers hours of sublime pleasure. The two-disc set is definitive in many ways, although it does not contain a director's commentary track. Nevertheless, this is by far the most complete and fascinating DVD treatment given to a Wong Kar-Wai film. Disc one presents the film in a stunning new digital letterboxed transfer (1.66:1 enhanced) with a Dolby Digital 5.0 soundtrack in its original Cantonese and Shanghainese with optional English subtitles. The picture is luminous, sharp, and beautifully clear, perfectly showing off Christopher Doyle's and Mark Li Ping-Bin's memorable cinematography. Also available on the disc are numerous deleted scenes with optional director's commentary, a separate music-only track that highlights Michael Galasso's unforgettable score, and an early short film by Wong Kar-Wai. Disc two contains the meat of the supplemental material, of course. The major extra is a consistently fascinating documentary on all aspects of the film's production -- from the earliest stages of pre-production to the final result -- and should more than reward up-and-coming filmmakers as well as people with only a casual interest in what goes on behind the cameras. Also included is an interesting interview with the director, interviews with stars Maggie Cheung and Tony Leung from their Toronto International Film Festival press conference, trailers, electronic press skits, essays, and much more.",,VIDEO/COMPACT DISC,
4534917,Energizer - Recharge Power Plus Rechargeable AAA Batteries (4-Pack),HardGood,Nov-02-2017 08:31:35,14.99,Nickel-metal-hydride chemistry; 1.2V of power; 800 mAh capacity; up to 1-year shelf life; up to 500 lifetime charges,"Grab these Energizer AAA rechargeable batteries when your electronics die. These batteries are tested and proven to resist against premature charge drainage, and you can reuse them up to 500 times for 420 minutes per charge. These Energizer AAA rechargeable batteries can hold a charge for as long as a year.",Energizer,PHOTO/COMMODITIES,Silver
4560236,"Electrolux - 36"" Built-In Electric Cooktop - Stainless steel",HardGood,Jan-25-2018 18:15:50,1249.99,Glide-2-Set electronic touch controls; 5 heating elements; Flex-2-Fit heating elements; 750-3200W power range; keep-warm function,"Electrolux 36"" Built-In Electric Cooktop: Enjoy versatile cooking on 5 heating elements and even adjust the size to fit your pot with the Flex-2-Fit heating elements. Glide-2-Set electronic touch controls let you make selections with the touch of a finger.",Electrolux,APPLIANCE,Stainless steel
